title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Commercial Projects | Town of Cary;http://www.townofcary.org/business-development/commercial-projects;"""Angela Snipes was very helpful as I was both picking up and dropping off. She was kind";accommodating;"and she made sure I got what I needed.""";5;7/21/2017 8:55;Other Comments;;;;;;;;;;;;;;;;;;;;
Standard Specifications - 2017 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-specifications-2017;I would like to know the backflow model and make i need to purchase to replace my existing backflow;1;7/23/2017 11:40;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;yes;4;7/26/2017 12:42;Other Comments;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;Move to a new address need new account number;3;7/14/2017 15:09;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Teens | Town of Cary;http://www.townofcary.org/recreation-enjoyment/special-populations/teens;;4;7/17/2017 9:36;;;;;;;;;;;;;;;;;;;;;;;
Contact the Town | Town of Cary;http://www.townofcary.org/connect-engage/get-help;;5;7/27/2017 10:59;;;;;;;;;;;;;;;;;;;;;;;
Park Hours and Rules | Town of Cary;http://www.townofcary.org/recreation-enjoyment/facilities/wakemed-soccer-park/park-hours-and-rules;Food and drink for sale at part;1;8/26/2017 11:39;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Featured Artist | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival/artists/shopping-list-artists;;5;8/26/2017 9:36;;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;;5;8/25/2017 15:37;;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;;5;8/25/2017 22:08;;;;;;;;;;;;;;;;;;;;;;;
Interactive Development Map | Town of Cary;http://www.townofcary.org/projects-initiatives/maps/interactive-development-map;;4;8/21/2017 7:04;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org;;1;8/23/2017 8:50;;;;;;;;;;;;;;;;;;;;;;;
Garbage Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/garbage-collection;"""Hi";"I got a mail notice about two weeks ago that trash pickup was changing to Wednesday’s starting this week for my area but that doesn’t seem to be the case as trash pickup was today. Was there a mistake with the dates? """;1;10/10/2017 17:06;Service Requests;;;;;;;;;;;;;;;;;;;;;
Map of Reclaimed Water System | Town of Cary;http://www.townofcary.org/services-publications/water-sewer/water/reclaimed-water/map-of-reclaimed-water-system;"""Reclaim water maps need updating. Is there reclaim water in west Cary";"west of hwy 55 and Carpenter Rd. and Yates Mill Pond Rd. area? """;1;10/9/2017 14:29;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Loose Leaf Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;"""Hi -  I clicked on the link for the leaf collection """"map and schedule"""" but I cannot find the """"schedule"""" - only the map.""";3;10/19/2017 9:31;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Volunteer | Town of Cary;http://www.townofcary.org/connect-engage/volunteer;How could you send it out to me one of the your maganize via address to home. 205 Maynard summit way to post adress for tomorrow.  As soon as possible for tomorrow by Saumya Nanavati;1;10/5/2017 22:20;Service Requests;;;;;;;;;;;;;;;;;;;;;;
LED Fixture Replacement of Town Facilities | Bids & Proposal Details | Town of Cary;http://www.townofcary.org/Home/Components/RFP/RFP/118/1691?backlist=%2fbusiness-development%2fbids-proposals;Everything in clear in your website. Good;5;10/20/2017 2:05;Other Comments;;;;;;;;;;;;;;;;;;;;;;
LED Fixture Replacement of Town Facilities | Bids & Proposal Details | Town of Cary;http://www.townofcary.org/Home/Components/RFP/RFP/118/1691?backlist=%2fbusiness-development%2fbids-proposals;g;3;10/20/2017 2:05;;;;;;;;;;;;;;;;;;;;;;;
Spring Youth Baseball and Softball (Age 5-18) | Town of Cary;http://www.townofcary.org/recreation-enjoyment/sports/youth-sports/spring-youth-baseball-and-softball-ages-5-18;;4;10/18/2017 11:23;;;;;;;;;;;;;;;;;;;;;;;
Standard Detail Drawings 2009 - 2016 | Town of Cary;http://www.townofcary.org/business-development/developing-in-cary/standard-detail-drawings;;4;10/16/2017 14:44;;;;;;;;;;;;;;;;;;;;;;;
Building Permits Online | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/building-permits-online;;5;10/30/2017 11:53;;;;;;;;;;;;;;;;;;;;;;;
Thomas Brooks Park | Town of Cary;http://www.townofcary.org/recreation-enjoyment/parks-greenways-environment/parks/thomas-brooks-park;;3;10/11/2017 20:15;;;;;;;;;;;;;;;;;;;;;;;
White Oak Creek Greenway Trailhead | Town of Cary;http://www.townofcary.org/projects-initiatives/project-updates/white-oak-creek-greenway-trailhead;It looks like construction has begun on the east side of green level church under the bridge but this page doesn’t seem to accurately represent the status of it says  summer 2018 to begin construction.;2;10/31/2017 4:50;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Loose Leaf Collection | Town of Cary;http://www.townofcary.org/services-publications/garbage-recycling-yard-waste/yard-waste/loose-leaf-collection;No! Just wanted to know when you were picking up leaves. Hard site to maneuver;1;11/4/2017 10:54;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
;http://www.townofcary.org/;Per ABC11 there was suppose to be an icon to vote for the Tree and there is nothing;1;12/4/2017 18:45;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
